latitude_deg,ceres_implied_total_pw,era5_actual_aht_pw
-40.0,-5.699811244693456,-5.162988238696535
-39.0,-5.72950356024452,-5.13641877181357
-38.0,-5.749658204670133,-5.10264914592839
-37.0,-5.758944639868476,-5.062230125653701
-36.0,-5.756156342752443,-5.016147059452777
-35.0,-5.742585542081176,-4.965949018131412
-34.0,-5.719589516866926,-4.917657939639647
-33.0,-5.687786059573296,-4.860845178621153
-32.0,-5.646108981915046,-4.799523929751589
-31.0,-5.597068554900652,-4.72937892011737
-30.0,-5.540149848907599,-4.651634130344612
-29.0,-5.475152259445666,-4.567675320416938
-28.0,-5.402920905607203,-4.476163668087912
-27.0,-5.323235827058032,-4.378067550939187
-26.0,-5.235452860569132,-4.274479513868161
-25.0,-5.13992080738972,-4.1684980355072705
-24.0,-5.0387072799516,-4.0592612359164715
-23.0,-4.930084317263443,-3.9439024542119054
-22.0,-4.814557079897563,-3.8195893745938863
-21.0,-4.691390942128278,-3.689391061116504
-20.0,-4.559600510605811,-3.553170701657694
-19.0,-4.416948429305651,-3.4072360419622716
-18.0,-4.264836898559565,-3.2549079941893053
-17.0,-4.104010517080312,-3.09530190508501
-16.0,-3.9328355029182607,-2.9223373793814846
-15.0,-3.749757605014724,-2.738639787321536
-14.0,-3.555564042326039,-2.54902400895152
-13.0,-3.350534810768443,-2.3491326500971335
-12.0,-3.1355826057466705,-2.152021721577599
-11.0,-2.909266909080539,-1.9552403557022688
-10.0,-2.6724104781153657,-1.75756708020835
-9.0,-2.425752371958756,-1.562638381556411
-8.0,-2.1703336006569467,-1.371419786778717
-7.0,-1.9048276274665723,-1.1858193976195324
-6.0,-1.631073474592198,-1.0155362845030094
-5.0,-1.3498156003475428,-0.865088340418538
-4.0,-1.0594366077077495,-0.7240324026928299
-3.0,-0.7638073423774387,-0.6031749304760117
-2.0,-0.4594969418836446,-0.5057934005225442
-1.0,-0.1500211524456606,-0.4321995784970011
0.0,0.1655643064008297,-0.3829419882419811
1.0,0.4792377628383139,-0.3149664134439365
2.0,0.7860707298757267,-0.2048304598470581
3.0,1.0839342687611562,-0.0553032041124635
4.0,1.3748868715377385,0.1199995740830952
5.0,1.6593322659281915,0.3191658033613766
6.0,1.939045789772896,0.532343457963937
7.0,2.2179120157495533,0.7611308290390973
8.0,2.4961463174493663,0.993227386001421
9.0,2.7732275990005646,1.217371394768607
10.0,3.0486451990761307,1.4289629525031995
11.0,3.3196719744215875,1.629635564259752
12.0,3.5859616600141564,1.8099109146316537
13.0,3.8383719241038494,1.984173914592428
14.0,4.072010955788435,2.151691438382335
15.0,4.284930679681427,2.3172377205701005
16.0,4.475470937100981,2.4702713154885676
17.0,4.6467471122012265,2.6204910859221493
18.0,4.797888583501107,2.7499470230196397
19.0,4.9299680552461735,2.8746585095201147
20.0,5.049490709917552,2.992227937590259
21.0,5.159049313385256,3.1031975904171984
22.0,5.258156116460625,3.2087981837960258
23.0,5.347508975282712,3.3032879929821304
24.0,5.428162458053069,3.395864817266318
25.0,5.499842604106931,3.482752912358282
26.0,5.56055986815682,3.5665372956345154
27.0,5.6126165855112475,3.6460199197973897
28.0,5.650924607666681,3.7185535406669823
29.0,5.682439098712703,3.7831962888429502
30.0,5.707622232450356,3.842877537907961
31.0,5.725534637816144,3.9025991509343223
32.0,5.745171796562447,3.967656926315646
33.0,5.763474436583581,4.035650892733283
34.0,5.779196921629933,4.115054562359933
35.0,5.788273661674179,4.184459773520231
36.0,5.7895861122922945,4.257619183731754
37.0,5.7839089922699545,4.330130739130704
38.0,5.768887368370391,4.404910614398223
39.0,5.74350135319187,4.465506727960914
40.0,5.706458873856036,4.512168955136187
41.0,5.659315267938759,4.534492927855136
42.0,5.603503863325118,4.525906487747978
43.0,5.538661328558555,4.48981377782546
44.0,5.462892579687564,4.431236049216197
45.0,5.377789256328626,4.360906592922338
46.0,5.284188463372779,4.281947224416799
47.0,5.182617663936706,4.18826279779454
48.0,5.072884345965323,4.089930437972667
49.0,4.955988143595396,3.9859436056483952
50.0,4.8337648000266995,3.883373041658897
51.0,4.705944563150824,3.7801235376366806
52.0,4.572245441728144,3.673229505130976
53.0,4.433936626846515,3.5598478788766816
54.0,4.292044428581916,3.4435497139685185
55.0,4.147086879472115,3.3310087526467975
56.0,3.998434010083258,3.2185689074713157
57.0,3.845430248032869,3.1097455638572695
58.0,3.69048010246908,2.9994644085103688
59.0,3.5351746848666585,2.895988466769792
60.0,3.3789362025415035,2.787829557495861
61.0,3.2186936414654417,2.6673010543806503
62.0,3.0568712794507733,2.5462035879390075
63.0,2.894910097179393,2.420146181264847
64.0,2.733251176180295,2.28475949009476
65.0,2.57138791634066,2.150507185068226
66.0,2.4091072594428855,2.011807131156412
67.0,2.2487502791805465,1.8734998901004136
68.0,2.08963644474602,1.7339082251279732
69.0,1.9321032866101189,1.5952050584623956
70.0,1.7767433138116149,1.461186313180401
71.0,1.6247370634470717,1.3401469644471156
72.0,1.475272165293768,1.224287095439485
73.0,1.3289134604145398,1.109197387589086
74.0,1.1874896532441912,0.9985237905221632
75.0,1.0521412376681147,0.8958516608319846
76.0,0.9237911729342524,0.7917244120556931
77.0,0.8024325410486444,0.6948586247201323
78.0,0.6883303659626292,0.6076963428701809
79.0,0.5816334435725784,0.5167457215456192
80.0,0.4833090282065799,0.4337353651911113
81.0,0.393468342585578,0.3573497976649554
82.0,0.3128049273406348,0.288791019471001
83.0,0.2407070283169233,0.223422122650747
84.0,0.1772584902683054,0.166129564675288
85.0,0.1232241997884727,0.1154994860256275
86.0,0.0789129208861686,0.0741965886527924
87.0,0.0444237123659512,0.0418526912720292
88.0,0.0197684784062378,0.0186596707445742
89.0,0.0049522801686059,0.0046819224067714
90.0,0.0,0.0
