metric,abs_latitude_deg,nh_climatology_pw,sh_poleward_climatology_pw
CERES_raw_implied_total,1.0,0.4795054188317778,0.149796694677914
CERES_raw_implied_total,2.0,0.7862518838690793,0.4593588612711178
CERES_raw_implied_total,3.0,1.0839196918111715,0.7638517914564683
CERES_raw_implied_total,4.0,1.3746433049736655,1.059722189051499
CERES_raw_implied_total,5.0,1.6588260626972,1.3503092582580012
CERES_raw_implied_total,6.0,1.938216009441282,1.631720848927576
CERES_raw_implied_total,7.0,2.2167208207726836,1.905603272982599
CERES_raw_implied_total,8.0,2.494564547344172,2.1711729749931132
CERES_raw_implied_total,9.0,2.7714154158331437,2.426591931006753
CERES_raw_implied_total,10.0,3.0467883592812934,2.673229483941952
CERES_raw_implied_total,11.0,3.317820165691233,2.9101664434171775
CERES_raw_implied_total,12.0,3.5841469660658554,3.1365624121110467
CERES_raw_implied_total,13.0,3.836703188204784,3.3515720332729257
CERES_raw_implied_total,14.0,4.070589326846923,3.556612692772999
CERES_raw_implied_total,15.0,4.283803176121508,3.750811051113155
CERES_raw_implied_total,16.0,4.474646236735652,3.933893273759447
CERES_raw_implied_total,17.0,4.646151124259517,4.105024748975571
CERES_raw_implied_total,18.0,4.797473880535011,4.265786729406046
CERES_raw_implied_total,19.0,4.929724060374641,4.417834655398685
CERES_raw_implied_total,20.0,5.049372376119638,4.560483584731173
CERES_raw_implied_total,21.0,5.159025847051096,4.692275242031299
CERES_raw_implied_total,22.0,5.25820649501054,4.815409387508413
CERES_raw_implied_total,23.0,5.347633868276149,4.930852564668179
CERES_raw_implied_total,24.0,5.428303986273519,5.039362418523476
CERES_raw_implied_total,25.0,5.499910131902011,5.140470644125388
CERES_raw_implied_total,26.0,5.5604718969199824,5.23595091121324
CERES_raw_implied_total,27.0,5.6123837068086155,5.323704319035022
CERES_raw_implied_total,28.0,5.650576419422116,5.403314041239914
CERES_raw_implied_total,29.0,5.682034632813614,5.475434522114689
CERES_raw_implied_total,30.0,5.707208880979779,5.540304700953268
CERES_raw_implied_total,31.0,5.725142440344905,5.5970413659663825
CERES_raw_implied_total,32.0,5.744791717665861,5.645846043152476
CERES_raw_implied_total,33.0,5.763147530550478,5.687245386223813
