source,budget_role,evidence_class,operation,native_or_output_unit
CERES: radiační bilance oblasti,N_cap,odvozeno z pozorování,TOA NET integrovaný přes vymezenou oblast,W / PW
NCEI OHC 0-2000 m,akumulace v oceánu,mapovaný produkt odvozený z pozorování,změna známé energie uložené v oceánu,J / PW
ERA5: změna celkové energie,akumulace v atmosféře,odvozeno z reanalýzy,změna známé energie uložené v atmosféře,J m-2 / PW
PIOMAS v2.1: objem ledu,latentní energie mořského ledu,modelově-asimilační odhad,E_ice = -rho L V,m3 / J / PW
bilanční výsledek,H_corr,bilančně požadovaný transport,dE_known/dt - N_cap,PW
