latitude_deg,incoming_solar_wm2,asr_wm2,olr_wm2,ntoa_wm2,toa_regime
-46.5,300.3854658339687,192.6061314938037,223.05962728521882,-30.453495791415122,deficit
-45.5,304.87840868413366,197.81378867208156,224.8753244034263,-27.061535731344748,deficit
-44.5,309.3135179422103,202.87366192819462,226.75351142987745,-23.879849501682827,deficit
-43.5,313.687298041212,208.14692191630618,228.714947959625,-20.56802604331881,deficit
-42.5,317.99722404175003,213.4996097181598,230.73961704326425,-17.240007325104443,deficit
-41.5,322.239504015259,218.85233976994766,232.80564847116258,-13.953308701214922,deficit
-40.5,326.4116228049536,224.25169059353192,234.98887820938907,-10.737187615857152,deficit
-39.5,330.51102725329685,229.44964614231475,237.0425778502716,-7.592931707956865,deficit
-38.5,334.53555660813885,234.3767748114026,239.0826216152393,-4.7058468038366925,deficit
-37.5,338.4825269251869,239.63220274627253,241.16735687606788,-1.5351541297953588,deficit
-36.5,342.34938859965683,245.25188148840272,243.3786794871154,1.873202001287325,surplus
-35.5,346.1343604691409,250.44938864252052,245.6153551585676,4.834033483952908,surplus
-34.5,349.83543762467724,255.15147528911052,247.7921278455043,7.359347443606225,surplus
-33.5,353.45039698385926,259.64613468077,250.0013562992987,9.644778381471298,surplus
-32.5,356.97764975932455,264.4215122599315,252.25410110328247,12.167411156649024,surplus
-31.5,360.41525963898255,268.4423130763581,254.48927027387225,13.953042802485868,surplus
-30.5,363.76126589768296,272.58629762939677,256.7279788251122,15.858318804284579,surplus
-29.5,367.01473256554925,276.580025363864,258.7867321130963,17.793293250767704,surplus
-28.5,370.17325564551464,280.2935579178981,260.8141440238113,19.479413894086804,surplus
-27.5,373.23631425990607,283.90025007402295,262.68882732748557,21.21142274653738,surplus
-26.5,376.2015942247788,287.58016557310174,264.51531598069505,23.064849592406688,surplus
-25.5,379.06815250318607,291.151069532492,266.3330823066736,24.8179872258184,surplus
-24.5,381.83468533011364,293.9995111952788,267.9817633958365,26.017747799442304,surplus
-23.5,384.50002945810246,297.02538359427604,269.3891072158889,27.63627637838715,surplus
-22.5,387.0622675804512,299.5795886096447,270.4242944246367,29.155294185008017,surplus
-21.5,389.5212997154108,302.21734751449753,271.3988388407441,30.818508673753456,surplus
-20.5,391.8757819832775,304.58666065981845,271.92223884967706,32.66442181014139,surplus
-19.5,394.1245655982678,307.12125913097566,272.0419657407148,35.07929339026089,surplus
-18.5,396.26658336759306,309.0860790310756,271.9565617535543,37.1295172775213,surplus
-17.5,398.30109965418717,310.46782819517944,271.50650780585573,38.9613203893237,surplus
-16.5,400.2271665314727,312.00775440848156,270.8434904401606,41.16426396832094,surplus
-15.5,402.04446173168566,313.51511478977625,269.77794598838534,43.73716880139091,surplus
-14.5,403.7512330425072,314.5980456499186,268.4999352767321,46.0981103731865,surplus
-13.5,405.3468311290179,315.5826801353942,267.17416025056673,48.408519884827456,surplus
-12.5,406.8322445989869,316.24931953086764,265.7654583765635,50.48386115430412,surplus
-11.5,408.205703055215,317.1346112690885,264.2260325783485,52.90857869074,surplus
-10.5,409.46586938928425,317.5274614737885,262.38036357047014,55.147097903318354,surplus
-9.5,410.6132677809561,317.5225037652161,260.30998718442197,57.2125165807941,surplus
-8.5,411.6474215664486,317.23107619552434,258.201749382817,59.029326812707325,surplus
-7.5,412.56858449519603,317.72255485366725,256.58144828772157,61.14110656594568,surplus
-6.5,413.37441497892974,318.16882168138267,255.32023000294166,62.84859167844101,surplus
-5.5,414.0661305791119,318.69220748014015,254.2649695522069,64.42723792793325,surplus
-4.5,414.64245853459585,319.72044614951255,253.33433128977745,66.3861148597351,surplus
-3.5,415.10408592036123,319.9875400239491,252.52555586309686,67.46198416085227,surplus
-2.5,415.45037876221477,321.4287039172204,252.0988238022056,69.32988011501479,surplus
-1.5,415.68147255606436,322.4370857525363,252.00456131009855,70.43252444243774,surplus
-0.5,415.7968361870951,323.8083683941793,251.98218837090906,71.82618002327024,surplus
0.5,415.7966959853773,322.69429929618593,251.2568471488915,71.43745214729444,surplus
1.5,415.68180068603755,319.5805532622345,249.5975052346119,69.9830480276226,surplus
2.5,415.4502981050345,315.3247400454474,247.27039702543618,68.05434302001123,surplus
3.5,415.1036958862612,311.1643038181417,244.58814224044303,66.57616157769868,surplus
4.5,414.64265982828715,307.1065339842627,241.93267570765488,65.1738582766078,surplus
5.5,414.066149806757,304.1658318193415,240.00666775492977,64.15916406441175,surplus
6.5,413.37455752686805,303.64281766843646,239.5842239468451,64.05859372159136,surplus
7.5,412.5685158164409,304.77222354225904,240.69206553630352,64.08015800595552,surplus
8.5,411.6480134356754,307.15061714473995,243.1024822635753,64.04813488116466,surplus
9.5,410.6139078680232,310.1149499024427,246.2506313238331,63.864318578609584,surplus
10.5,409.4665725936948,313.14621901895975,250.10831467542104,63.03790434353871,surplus
11.5,408.2058137553817,316.28699252519533,254.12735343634816,62.15963908884717,surplus
12.5,406.8325889887364,317.1070376345942,257.87834572888664,59.228691905707535,surplus
13.5,405.348252280259,316.31401842414135,261.14701773911185,55.16700068502951,surplus
14.5,403.7512757290155,314.49021298579066,263.8885627724022,50.60165021338844,surplus
15.5,402.04457183359955,311.90198764502315,266.26688212301866,45.635105522004494,surplus
16.5,400.22744304459377,309.39296830030776,268.10429934454754,41.288668955760215,surplus
17.5,398.3011430659517,306.1931665028033,269.44237335743173,36.750793145371574,surplus
18.5,396.2668651613815,302.72993772542435,270.3051358403544,32.42480188506994,surplus
19.5,394.12445202047155,300.57165501859515,270.94433791273696,29.627317105858197,surplus
20.5,391.876444757161,298.92272918387005,271.5004982443319,27.422230939538167,surplus
21.5,389.5216456960449,296.75176388660435,271.65806525947625,25.093698627128106,surplus
22.5,387.06245297532314,294.2547475772833,271.3439792578328,22.910768319450483,surplus
23.5,384.50047495257826,291.6661619671646,270.7047960705204,20.961365896644224,surplus
24.5,381.8345912673912,288.7992081308454,269.8993688459504,18.899839284894995,surplus
25.5,379.06830815252687,285.12569123350534,268.8011298275192,16.324561405986117,surplus
26.5,376.20208588665855,281.698391259402,267.40822428443346,14.290166974968542,surplus
27.5,373.2363450030823,276.0975603808214,265.1800148796505,10.917545501170878,surplus
28.5,370.1736639914984,271.84697017767854,262.55290530819633,9.294064869482213,surplus
29.5,367.01493074097306,267.79410623582373,260.0526026340477,7.74150360177606,surplus
30.5,363.7625076232115,263.2164221991194,257.31794286904835,5.898479330071041,surplus
31.5,360.4151442647568,261.35585474505797,254.99469989947482,6.361154845583144,surplus
32.5,356.9786648890782,258.5777054325981,252.48570166071775,6.092003771880371,surplus
33.5,353.4509972854429,254.95226708540534,249.50881650024587,5.443450585159468,surplus
34.5,349.8360525717572,250.62003146605952,246.92589363797498,3.6941378280845356,surplus
35.5,346.13504325942733,245.86508718391798,244.2306257295342,1.6344614543837679,surplus
36.5,342.34991544147607,242.1680913843078,242.50699053070733,-0.338899146399541,deficit
37.5,338.48290956969487,237.6674576946188,240.7459654030462,-3.078507708427395,deficit
38.5,334.53624730939976,232.7913961940052,238.92358480822594,-6.132188614220752,deficit
39.5,330.51165940265196,227.80922122111832,237.40466413371547,-9.59544291259715,deficit
40.5,326.41224645510806,222.98493387675364,235.69261242961872,-12.707678552865076,deficit
41.5,322.23996355697835,218.03148138973512,233.57786841972703,-15.546387029991905,deficit
42.5,317.9974489497167,213.25219831841628,231.80300516294187,-18.550806844525596,deficit
43.5,313.68801165990067,208.26070375560528,230.488363895786,-22.227660140180717,deficit
