boundary_deg_n,h_required_known_storage_corrected_pw,era5_actual_aht_pw,unresolved_non_atmospheric_remainder_pw,remainder_percent_of_required_total,literature_oht_sanity_low_pw,literature_oht_sanity_high_pw,gap_to_oht_sanity_midpoint_pw
50.0,4.76743750774641,3.883373041658897,0.8840644660875148,18.54380817055358,,,
60.0,3.3452688956041965,2.787829557495862,0.557439338108335,16.663513621904368,,,
65.0,2.551345240639892,2.150507185068226,0.4008380555716663,15.710851247678804,,,
70.0,1.7666412918874017,1.461186313180401,0.3054549787070008,17.290152795006062,0.15,0.25,0.1054549787070007
75.0,1.0482444300475615,0.8958516608319846,0.152392769215577,14.537904027657229,,,
80.0,0.4833518060047761,0.4337353651911111,0.0496164408136649,10.2650781888616,,,
